index,ZIPCODE,AGE,EJECTION,DRIVER_ACTION,BAC_RESULT,UNIT_TYPE,VEHICLE_YEAR,VEHICLE_TYPE,TRAVEL_DIRECTION,MANEUVER,FIRST_CONTACT_POINT,POSTED_SPEED_LIMIT,TRAFFIC_CONTROL_DEVICE,DEVICE_CONDITION,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,ALIGNMENT,ROADWAY_SURFACE_COND,ROAD_DEFECT,STREET_DIRECTION,NUM_UNITS,CRASH_HOUR,CRASH_DAY_OF_WEEK,CRASH_MONTH,CRASH_YEAR,FATAL_DEGREE,SEX,INTERSECTION_RELATED,HIT_AND_RUN,REPORTYPE,DAMAGE_COST,FATAL_COND
37868,60617,18.0,0.0,0.0,0.0,1,2017.0,1,2,1,1.0,30,1,1,1,1,1,1,1,1,0,1,2,15,6,5,2020,3.0,1,1,1,1,3,4
38292,60610,24.0,0.0,0.0,0.0,1,2019.0,1,4,1,1.0,30,1,1,1,1,1,0,1,1,0,3,2,14,1,5,2020,0.0,0,1,1,1,3,3
38293,60610,24.0,0.0,0.0,0.0,1,2013.0,2,1,1,10.0,30,1,1,1,1,1,0,1,1,0,3,2,14,1,5,2020,0.0,0,1,1,1,3,3
38360,60624,23.0,-1.0,5.0,0.0,1,2006.0,1,7,15,8.0,40,1,1,1,1,2,0,1,1,0,3,2,14,5,5,2020,2.0,1,1,0,1,3,4
38361,60624,23.0,-1.0,5.0,0.0,1,2020.0,1,1,1,4.0,40,1,1,1,1,2,0,1,1,0,3,2,14,5,5,2020,2.0,1,1,0,1,3,4
38362,60644,27.0,0.0,0.0,0.0,1,2006.0,1,7,15,8.0,40,1,1,1,1,2,0,1,1,0,3,2,14,5,5,2020,2.0,0,1,0,1,3,4
38363,60644,27.0,0.0,0.0,0.0,1,2020.0,1,1,1,4.0,40,1,1,1,1,2,0,1,1,0,3,2,14,5,5,2020,2.0,0,1,0,1,3,4
38413,60644,38.0,0.0,3.0,0.0,1,2004.0,-1,1,1,1.0,30,2,1,1,2,5,0,1,1,0,1,2,3,7,5,2020,3.0,0,1,1,1,3,4
38415,60644,59.0,-1.0,0.0,2.0,1,2004.0,-1,1,1,1.0,30,2,1,1,2,5,0,1,1,0,1,2,3,7,5,2020,3.0,1,1,1,1,3,0
38502,60634,38.0,0.0,0.0,0.0,1,2015.0,1,5,2,3.0,30,1,1,1,1,2,0,1,1,0,3,2,11,7,5,2020,0.0,0,1,1,0,2,3
38680,60628,36.9,0.0,2.0,0.0,1,2011.0,-1,4,1,4.0,25,0,0,1,1,5,2,1,1,0,2,2,16,7,5,2020,2.0,1,1,1,1,1,4
38682,60645,57.0,-1.0,0.0,0.0,1,2011.0,-1,4,1,4.0,25,0,0,1,1,5,2,1,1,0,2,2,16,7,5,2020,2.0,0,1,1,1,1,0
38889,60087,19.0,0.0,8.0,0.0,1,2007.0,1,3,2,5.0,30,0,0,1,2,2,3,1,1,0,1,2,22,7,5,2020,1.0,0,1,1,1,3,4
38890,60087,19.0,0.0,8.0,0.0,1,2006.0,1,3,2,4.0,30,0,0,1,2,2,3,1,1,0,1,2,22,7,5,2020,1.0,0,1,1,1,3,4
38891,60615,22.0,0.0,-1.0,0.0,1,2007.0,1,3,2,5.0,30,0,0,1,2,2,3,1,1,0,1,2,22,7,5,2020,1.0,1,1,1,1,3,4
38892,60615,22.0,0.0,-1.0,0.0,1,2006.0,1,3,2,4.0,30,0,0,1,2,2,3,1,1,0,1,2,22,7,5,2020,1.0,1,1,1,1,3,4
39021,60419,29.0,0.0,0.0,0.0,1,2019.0,1,3,3,2.0,30,1,1,1,1,3,2,1,1,0,3,2,9,6,5,2020,0.0,1,0,1,1,2,3
39188,60644,32.0,-1.0,9.0,0.0,1,2019.0,4,1,4,3.0,30,2,1,1,5,10,4,4,1,0,2,1,5,2,6,2020,2.0,1,1,1,1,3,4
39277,60644,38.0,0.0,3.0,0.0,1,2010.0,1,3,1,1.0,30,1,1,1,1,1,1,1,1,-1,1,2,16,1,5,2020,3.0,0,1,1,0,3,4
39278,60644,38.0,0.0,3.0,0.0,1,2018.0,1,2,1,5.0,30,1,1,1,1,1,1,1,1,-1,1,2,16,1,5,2020,3.0,0,1,1,0,3,4
39279,60655,30.0,0.0,0.0,0.0,1,2010.0,1,3,1,1.0,30,1,1,1,1,1,1,1,1,-1,1,2,16,1,5,2020,3.0,0,1,1,0,3,4
39280,60655,30.0,0.0,0.0,0.0,1,2018.0,1,2,1,5.0,30,1,1,1,1,1,1,1,1,-1,1,2,16,1,5,2020,3.0,0,1,1,0,3,4
39424,60655,36.9,0.0,2.0,0.0,1,2014.0,-1,1,1,1.0,30,1,1,1,1,3,0,1,1,-1,1,3,13,2,6,2020,2.0,0,1,1,0,3,4
39425,60655,36.9,0.0,2.0,0.0,1,2001.0,2,1,1,2.0,30,1,1,1,1,3,0,1,1,-1,1,3,13,2,6,2020,2.0,0,1,1,0,3,4
39427,46404,43.0,0.0,0.0,0.0,1,2014.0,-1,1,1,1.0,30,1,1,1,1,3,0,1,1,-1,1,3,13,2,6,2020,2.0,0,1,1,0,3,4
39428,46404,43.0,0.0,0.0,0.0,1,2001.0,2,1,1,2.0,30,1,1,1,1,3,0,1,1,-1,1,3,13,2,6,2020,2.0,0,1,1,0,3,4
39429,46404,43.0,0.0,0.0,0.0,1,2011.0,1,1,1,2.0,30,1,1,1,1,3,0,1,1,-1,1,3,13,2,6,2020,2.0,0,1,1,0,3,4
39430,60655,36.9,0.0,0.0,0.0,1,2014.0,-1,1,1,1.0,30,1,1,1,1,3,0,1,1,-1,1,3,13,2,6,2020,2.0,0,1,1,0,3,4
39431,60655,36.9,0.0,0.0,0.0,1,2001.0,2,1,1,2.0,30,1,1,1,1,3,0,1,1,-1,1,3,13,2,6,2020,2.0,0,1,1,0,3,4
39560,60162,24.0,0.0,0.0,0.0,1,2012.0,1,2,3,2.0,30,1,0,1,2,3,0,1,1,0,2,2,23,2,6,2020,0.0,1,1,1,0,3,4
39655,60639,36.9,0.0,-1.0,0.0,1,1995.0,1,3,1,3.0,30,0,0,1,1,1,0,1,1,0,3,2,16,3,6,2020,2.0,1,1,1,1,2,4
39656,60651,21.0,0.0,0.0,0.0,1,2011.0,-1,2,1,-1.0,30,0,0,1,1,1,0,1,1,0,3,2,16,3,6,2020,2.0,0,1,1,1,2,4
39657,60651,21.0,0.0,0.0,0.0,1,1995.0,1,3,1,3.0,30,0,0,1,1,1,0,1,1,0,3,2,16,3,6,2020,2.0,0,1,1,1,2,4
39889,60634,47.0,0.0,0.0,0.0,1,2018.0,2,4,3,2.0,30,1,1,2,1,3,2,1,2,0,2,2,6,1,5,2020,0.0,1,1,1,0,1,3
40188,60640,21.0,0.0,1.0,0.0,1,2019.0,1,3,1,1.0,35,0,0,2,1,2,1,1,2,0,3,4,16,1,5,2020,0.0,1,1,1,0,3,4
40189,60640,21.0,0.0,1.0,0.0,1,2005.0,1,4,2,1.0,35,0,0,2,1,2,1,1,2,0,3,4,16,1,5,2020,0.0,1,1,1,0,3,4
