index,CITY,STATE,ZIPCODE,AGE,EJECTION,DRIVER_ACTION,BAC_RESULT,UNIT_TYPE,MAKE,MODEL,VEHICLE_YEAR,VEHICLE_TYPE,TRAVEL_DIRECTION,MANEUVER,FIRST_CONTACT_POINT,POSTED_SPEED_LIMIT,TRAFFIC_CONTROL_DEVICE,DEVICE_CONDITION,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,ALIGNMENT,ROADWAY_SURFACE_COND,ROAD_DEFECT,STREET_DIRECTION,NUM_UNITS,CRASH_HOUR,CRASH_DAY_OF_WEEK,CRASH_MONTH,CRASH_YEAR,FATAL_INBOTH,FATAL_CARPPL,FATAL_OTHPPL,FATAL_INAUTO,FATAL_DEGREE,DAMAGE_500_OR_LESS,DAMAGE_501_1500,DAMAGE_OVER_1500,SEX,INTERSECTION_RELATED,HIT_AND_RUN,REPORTYPE
112828,CHICAGO,IL,60616,40.0,0.0,-1.0,0.0,1,2,19,2001.0,1,1,1,1.0,30,0,0,1,1,1,1,1,1,-1,2,3,13,1,7,2020,1.0,0.0,0.0,0.0,2.0,0,0,1,0,1,1,1
112829,CHICAGO,IL,60616,36.9,0.0,1.0,0.0,1,16,199,2018.0,1,4,1,1.0,30,0,0,1,1,1,1,1,1,-1,2,3,13,1,7,2020,1.0,0.0,0.0,0.0,2.0,0,0,1,0,1,1,1
112830,CHICAGO,IL,60616,36.9,0.0,1.0,0.0,1,2,150,2001.0,1,3,1,1.0,30,0,0,1,1,1,1,1,1,-1,2,3,13,1,7,2020,1.0,0.0,0.0,0.0,2.0,0,0,1,0,1,1,1
112831,CHICAGO,IL,60616,36.9,0.0,1.0,0.0,1,2,19,2001.0,1,1,1,1.0,30,0,0,1,1,1,1,1,1,-1,2,3,13,1,7,2020,1.0,0.0,0.0,0.0,2.0,0,0,1,0,1,1,1
112832,CHICAGO,IL,60623,25.0,0.0,-1.0,0.0,1,16,199,2018.0,1,4,1,1.0,30,0,0,1,1,1,1,1,1,-1,2,3,13,1,7,2020,1.0,0.0,0.0,0.0,2.0,0,0,1,0,1,1,1
112833,CHICAGO,IL,60623,25.0,0.0,-1.0,0.0,1,2,150,2001.0,1,3,1,1.0,30,0,0,1,1,1,1,1,1,-1,2,3,13,1,7,2020,1.0,0.0,0.0,0.0,2.0,0,0,1,0,1,1,1
112834,CHICAGO,IL,60623,25.0,0.0,-1.0,0.0,1,2,19,2001.0,1,1,1,1.0,30,0,0,1,1,1,1,1,1,-1,2,3,13,1,7,2020,1.0,0.0,0.0,0.0,2.0,0,0,1,0,1,1,1
112863,CHICAGO,IL,60623,36.9,0.0,3.0,0.0,1,1,43,2002.0,1,3,1,1.0,50,0,1,1,5,1,0,2,2,-1,1,2,8,2,7,2020,1.0,0.0,0.0,0.0,2.0,0,0,1,1,1,1,1
112864,CHICAGO,IL,60623,36.9,0.0,3.0,0.0,1,2,1,2017.0,4,2,1,3.0,50,0,1,1,5,1,0,2,2,-1,1,2,8,2,7,2020,1.0,0.0,0.0,0.0,2.0,0,0,1,1,1,1,1
112865,SKOKIE,IL,60076,36.0,0.0,0.0,0.0,1,1,43,2002.0,1,3,1,1.0,50,0,1,1,5,1,0,2,2,-1,1,2,8,2,7,2020,1.0,0.0,0.0,0.0,2.0,0,0,1,1,1,1,1
