,index,CITY,STATE,ZIPCODE,AGE,EJECTION,DRIVER_ACTION,BAC_RESULT,UNIT_TYPE,MAKE,MODEL,VEHICLE_YEAR,VEHICLE_TYPE,TRAVEL_DIRECTION,MANEUVER,FIRST_CONTACT_POINT,POSTED_SPEED_LIMIT,TRAFFIC_CONTROL_DEVICE,DEVICE_CONDITION,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,ALIGNMENT,ROADWAY_SURFACE_COND,ROAD_DEFECT,STREET_DIRECTION,NUM_UNITS,CRASH_HOUR,CRASH_DAY_OF_WEEK,CRASH_MONTH,CRASH_YEAR,FATAL_INBOTH,FATAL_CARPPL,FATAL_OTHPPL,FATAL_INAUTO,FATAL_DEGREE,DAMAGE_500_OR_LESS,DAMAGE_501_1500,DAMAGE_OVER_1500,SEX,INTERSECTION_RELATED,HIT_AND_RUN,REPORTYPE
1609,76235,CHICAGO,IL,60624,36.9,0.0,-1.0,0.0,1,6,21,2018.0,1,4,1,1.0,30,1,1,1,3,6,0,1,1,0,4,2,22,1,6,2020,1.0,0.0,0.0,0.0,2.0,0,0,1,1,1,1,1
1610,76236,CHICAGO,IL,60624,36.9,0.0,-1.0,0.0,1,4,11,2018.0,1,2,1,1.0,30,1,1,1,3,6,0,1,1,0,4,2,22,1,6,2020,1.0,0.0,0.0,0.0,2.0,0,0,1,1,1,1,1
1611,76237,SOUTH_HOLLAND,IL,60473,56.0,0.0,0.0,0.0,1,6,21,2018.0,1,4,1,1.0,30,1,1,1,3,6,0,1,1,0,4,2,22,1,6,2020,1.0,0.0,0.0,0.0,2.0,0,0,1,1,1,1,1
1612,76238,SOUTH_HOLLAND,IL,60473,56.0,0.0,0.0,0.0,1,4,11,2018.0,1,2,1,1.0,30,1,1,1,3,6,0,1,1,0,4,2,22,1,6,2020,1.0,0.0,0.0,0.0,2.0,0,0,1,1,1,1,1
1613,76250,CHICAGO,IL,60643,26.0,0.0,0.0,0.0,1,4,100,2017.0,1,2,1,6.0,35,2,1,1,2,1,1,1,1,0,4,2,21,1,6,2020,0.0,1.0,0.0,0.0,0.0,0,0,1,0,1,1,0
1614,76296,WESTMONT,IL,60559,41.0,0.0,0.0,0.0,1,6,69,2008.0,1,1,1,1.0,30,1,1,1,2,1,-1,1,1,0,4,2,23,1,6,2020,1.0,0.0,0.0,0.0,0.0,0,0,1,1,1,1,1
1615,76297,WESTMONT,IL,60559,41.0,0.0,0.0,0.0,1,1,4,2018.0,1,2,1,6.0,30,1,1,1,2,1,-1,1,1,0,4,2,23,1,6,2020,1.0,0.0,0.0,0.0,0.0,0,0,1,1,1,1,1
1616,76322,CHICAGO,IL,60643,38.0,0.0,3.0,0.0,1,21,211,2016.0,1,4,1,3.0,30,1,1,1,2,1,4,1,1,0,1,2,0,2,6,2020,1.0,0.0,0.0,0.0,3.0,0,0,1,1,1,1,1
1617,76323,CHICAGO,IL,60643,38.0,0.0,3.0,0.0,1,4,33,2015.0,1,3,1,4.0,30,1,1,1,2,1,4,1,1,0,1,2,0,2,6,2020,1.0,0.0,0.0,0.0,3.0,0,0,1,1,1,1,1
1618,76324,CHICAGO,IL,60624,27.0,0.0,0.0,0.0,1,21,211,2016.0,1,4,1,3.0,30,1,1,1,2,1,4,1,1,0,1,2,0,2,6,2020,1.0,0.0,0.0,0.0,3.0,0,0,1,1,1,1,1
1619,76325,CHICAGO,IL,60624,27.0,0.0,0.0,0.0,1,4,33,2015.0,1,3,1,4.0,30,1,1,1,2,1,4,1,1,0,1,2,0,2,6,2020,1.0,0.0,0.0,0.0,3.0,0,0,1,1,1,1,1
1620,76476,CHICAGO,IL,60624,24.0,0.0,0.0,0.0,1,7,59,2017.0,1,4,1,5.0,30,2,1,1,1,1,0,1,1,0,2,2,6,2,6,2020,0.0,1.0,0.0,0.0,0.0,0,1,0,0,1,1,0
1621,76543,CHICAGO,IL,60624,36.0,0.0,-1.0,0.0,1,5,23,2019.0,9,1,1,6.0,30,1,1,1,2,1,0,1,1,0,2,2,3,2,6,2020,1.0,0.0,0.0,0.0,1.0,0,0,1,0,1,1,0
1622,76544,CHICAGO,IL,60624,36.0,0.0,-1.0,0.0,1,1,4,2005.0,1,2,1,1.0,30,1,1,1,2,1,0,1,1,0,2,2,3,2,6,2020,1.0,0.0,0.0,0.0,1.0,0,0,1,0,1,1,0
1623,76545,CHICAGO,IL,60644,29.0,0.0,1.0,0.0,1,5,23,2019.0,9,1,1,6.0,30,1,1,1,2,1,0,1,1,0,2,2,3,2,6,2020,1.0,0.0,0.0,0.0,1.0,0,0,1,0,1,1,0
1624,76546,CHICAGO,IL,60644,29.0,0.0,1.0,0.0,1,1,4,2005.0,1,2,1,1.0,30,1,1,1,2,1,0,1,1,0,2,2,3,2,6,2020,1.0,0.0,0.0,0.0,1.0,0,0,1,0,1,1,0
1625,76569,CHICAGO,IL,60624,28.0,0.0,10.0,0.0,1,20,94,2005.0,2,2,1,3.0,30,1,1,1,1,4,3,1,1,0,2,2,6,2,6,2020,1.0,0.0,0.0,0.0,1.0,0,0,1,1,1,1,1
1626,76570,CHICAGO,IL,60624,28.0,0.0,10.0,0.0,1,-1,2,2010.0,-1,-1,-1,1.0,30,1,1,1,1,4,3,1,1,0,2,2,6,2,6,2020,1.0,0.0,0.0,0.0,1.0,0,0,1,1,1,1,1
1627,76571,CHICAGO,IL,60624,36.0,0.0,-1.0,0.0,1,20,94,2005.0,2,2,1,3.0,30,1,1,1,1,4,3,1,1,0,2,2,6,2,6,2020,1.0,0.0,0.0,0.0,1.0,0,0,1,0,1,1,1
1628,76572,CHICAGO,IL,60624,36.0,0.0,-1.0,0.0,1,-1,2,2010.0,-1,-1,-1,1.0,30,1,1,1,1,4,3,1,1,0,2,2,6,2,6,2020,1.0,0.0,0.0,0.0,1.0,0,0,1,0,1,1,1
1629,76757,CHICAGO,IL,60629,17.0,0.0,0.0,0.0,1,2,8,2006.0,1,2,1,1.0,30,1,1,1,1,1,0,1,1,0,2,2,12,2,6,2020,1.0,0.0,0.0,0.0,0.0,0,0,1,0,1,1,1
1630,76958,CHICAGO,IL,60644,42.0,0.0,0.0,0.0,1,2,82,2001.0,2,4,1,6.0,35,1,1,1,1,4,2,1,1,0,1,2,14,7,6,2020,0.0,1.0,0.0,0.0,0.0,0,0,1,1,1,1,0
1631,76959,CHICAGO,IL,60644,42.0,0.0,0.0,0.0,1,2,180,2007.0,1,4,1,5.0,35,1,1,1,1,4,2,1,1,0,1,2,14,7,6,2020,0.0,1.0,0.0,0.0,0.0,0,0,1,1,1,1,0
1632,77187,CHICAGO,IL,60615,38.0,0.0,1.0,0.0,1,3,3,2012.0,1,3,1,9.0,30,1,1,1,1,2,1,1,1,0,1,2,16,2,6,2020,1.0,0.0,0.0,0.0,3.0,0,0,1,1,1,1,1
1633,77188,CHICAGO,IL,60632,21.0,0.0,0.0,0.0,1,-1,2,2010.0,2,1,2,3.0,30,1,1,1,1,2,1,1,1,0,1,2,16,2,6,2020,1.0,0.0,0.0,0.0,3.0,0,0,1,0,1,1,1
1634,77189,CHICAGO,IL,60632,21.0,0.0,0.0,0.0,1,3,3,2012.0,1,3,1,9.0,30,1,1,1,1,2,1,1,1,0,1,2,16,2,6,2020,1.0,0.0,0.0,0.0,3.0,0,0,1,0,1,1,1
1635,77268,CHICAGO,IL,60647,47.0,0.0,0.0,0.0,1,5,23,2017.0,2,3,3,2.0,30,2,1,2,1,3,0,1,2,0,3,2,16,2,6,2020,0.0,1.0,0.0,0.0,0.0,0,0,1,0,1,1,0
1636,77290,HICKRY_HILL,IL,60457,36.0,0.0,0.0,0.0,1,17,52,2018.0,1,2,1,1.0,30,0,0,1,1,1,0,1,1,0,1,2,16,2,6,2020,0.0,1.0,0.0,0.0,0.0,0,0,1,0,1,1,0
1637,77614,CHICAGO,IL,60628,68.0,-1.0,12.0,0.0,1,4,18,2011.0,1,1,1,-1.0,30,0,0,2,2,5,0,1,2,-1,3,2,20,2,6,2020,0.0,0.0,0.0,0.0,2.0,1,0,0,0,1,1,1
1638,77638,CHICAGO,IL,60628,36.9,-1.0,-1.0,0.0,1,-1,2,2011.0,1,4,1,-1.0,30,2,-1,2,3,5,0,1,2,-1,1,2,21,2,6,2020,1.0,0.0,0.0,0.0,2.0,0,0,1,1,1,1,1
1639,77640,CHICAGO,IL,60628,51.0,-1.0,-1.0,0.0,1,-1,2,2011.0,1,4,1,-1.0,30,2,-1,2,3,5,0,1,2,-1,1,2,21,2,6,2020,0.0,0.0,0.0,0.0,2.0,0,0,1,0,1,1,1
1640,77894,CHICAGO,IL,60639,51.0,0.0,0.0,0.0,1,37,1,2019.0,7,2,1,-1.0,20,3,1,1,1,7,0,1,1,0,2,2,10,3,6,2020,0.0,1.0,0.0,0.0,0.0,0,0,1,0,0,1,0
